time_seconds,mfcc_00,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,delta_mfcc_00,delta_mfcc_01,delta_mfcc_02,delta_mfcc_03,delta_mfcc_04,delta_mfcc_05,delta_mfcc_06,delta_mfcc_07,delta_mfcc_08,delta_mfcc_09,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta_mfcc_14,delta_mfcc_15,delta_mfcc_16,delta_mfcc_17,delta_mfcc_18,delta_mfcc_19,zcr,spectral_flux,energy_norm,flux_norm,zcr_norm,is_flux_peak
0.2,-542.26227,139.05756,125.90038,105.86484,81.4438,55.508427,30.845823,9.746401,-6.284157,-16.6448,-21.586735,-22.021055,-19.244705,-14.652533,-9.495899,-4.7275343,-0.9450301,1.5806088,2.822915,2.9024653,0.6171499,0.71260506,0.2803201,-0.29448777,-0.84129816,-1.2010304,-1.2733476,-1.0441478,-0.5854224,-0.029097876,0.4752435,0.8044306,0.89381415,0.7488588,0.4350746,0.05215342,-0.29765055,-0.53658396,-0.62680256,-0.57201767,0.0125,0.0029243086,0.9172032,0.03966891,0.09328359,False
0.21,-540.8247,140.78314,126.796,105.655846,80.180695,53.543365,28.718956,8.021204,-7.183028,-16.54168,-20.583748,-20.444115,-17.531378,-13.221607,-8.63925,-4.552308,-1.3747265,0.75673616,1.8749607,2.08464,0.64176637,0.7471667,0.31320077,-0.2666893,-0.8230695,-1.1951537,-1.2774768,-1.0487297,-0.5746222,0.014815474,0.5652835,0.94254965,1.06767,0.9335492,0.59984654,0.17000073,-0.24093288,-0.5373582,-0.6646362,-0.61657965,0.0125,0.0037175044,0.90205723,0.05042879,0.09328359,False
0.22,-538.8102,143.18465,128.00569,105.32701,78.47081,51.045414,26.247532,6.3347273,-7.6228714,-15.691521,-18.787775,-18.275757,-15.576738,-11.888912,-8.059954,-4.5974274,-1.7626204,0.31777644,1.5723892,1.9586239,0.41604817,0.47047424,0.15251249,-0.26914674,-0.66686374,-0.9201574,-0.9512499,-0.7469186,-0.36039123,0.1064627,0.5343336,0.82089806,0.9079755,0.7938639,0.52847606,0.19436435,-0.11926416,-0.3410721,-0.43368125,-0.39782128,0.0125,0.004028997,0.88630074,0.054654256,0.09328359,False
0.23,-538.3763,143.68875,128.21588,105.15189,77.94152,50.30677,25.514198,5.8264866,-7.7460675,-15.374222,-18.089962,-17.347816,-14.608525,-11.051203,-7.4584503,-4.2538733,-1.6269674,0.33220804,1.5471324,1.9397172,0.050663248,0.020956421,-0.11371091,-0.2856837,-0.43410364,-0.50342125,-0.46102616,-0.30737197,-0.075507335,0.17951646,0.3976334,0.5314234,0.55883443,0.48721293,0.34803966,0.18487565,0.039133437,-0.061379205,-0.107610665,-0.10720447,0.015,0.0043327673,0.8703392,0.05877497,0.1119403,False
0.24,-539.90045,141.84064,127.183624,105.16547,78.88208,51.763275,26.942635,6.749604,-7.5738277,-15.896119,-18.991898,-18.195524,-15.0196495,-10.835121,-6.6730433,-3.1638398,-0.5871945,1.0172641,1.731942,1.6749048,-0.28602296,-0.39455667,-0.3641487,-0.31209743,-0.23824106,-0.14528574,-0.040114023,0.06624265,0.16030493,0.22923374,0.264438,0.26442203,0.23570247,0.19114055,0.14597835,0.11279753,0.09723895,0.09625594,0.099860966,0.09599361,0.015,0.0047031366,0.8546255,0.06379911,0.1119403,False
0.25,-541.36816,140.01758,126.03833,104.91054,79.459145,52.87682,28.17111,7.691621,-7.171088,-16.070072,-19.577904,-18.908909,-15.570444,-11.030859,-6.473356,-2.6723864,0.008272052,1.5272206,2.034884,1.7491972,-0.48216552,-0.63541615,-0.50643677,-0.32318816,-0.1236941,0.05456829,0.18385766,0.2515529,0.26056355,0.22547482,0.1664669,0.1033481,0.051481802,0.020125547,0.012647995,0.027512006,0.059181944,0.09879215,0.13512555,0.15662095,0.0125,0.0053280834,0.83954585,0.07227666,0.09328359,False
0.26,-541.9673,139.17986,125.24342,104.2251,78.97955,52.70022,28.35128,8.199511,-6.462075,-15.36191,-19.091671,-18.811897,-15.91335,-11.720402,-7.294449,-3.355707,-0.3049966,1.6964195,2.635655,2.5809705,-0.55971783,-0.72621256,-0.5471462,-0.29982784,-0.043888345,0.16494706,0.2902867,0.3228742,0.27884984,0.19024467,0.092147894,0.011622366,-0.037910778,-0.05592882,-0.04954268,-0.027190061,0.005442403,0.045694016,0.0911767,0.13642018,0.0125,0.0056577176,0.82533765,0.07674822,0.09328359,False
0.27,-542.7387,138.14786,124.384544,103.63945,78.737625,52.82347,28.795595,8.850601,-5.7739825,-14.826824,-18.871025,-18.990295,-16.467497,-12.518363,-8.128951,-4.003683,-0.5953382,1.8291734,3.1305277,3.270725,-0.47205302,-0.6138308,-0.4660553,-0.26048392,-0.044921875,0.13536339,0.24978285,0.2887315,0.26254618,0.19445553,0.110929646,0.033339944,-0.02621727,-0.06428992,-0.08215,-0.08139904,-0.061685085,-0.021716585,0.037303083,0.108086534,0.0125,0.005437937,0.8120814,0.07376685,0.09328359,False
0.28,-542.7906,138.03586,124.172264,103.30697,78.31871,52.399147,28.470531,8.719317,-5.66051,-14.483278,-18.380774,-18.486746,-16.098293,-12.402199,-8.317974,-4.463272,-1.2086089,1.2320454,2.7255836,3.1892624,-0.324411,-0.4257375,-0.33377317,-0.20247205,-0.058299508,0.07236398,0.16943172,0.22270937,0.23214734,0.20531593,0.15358849,0.08875446,0.021195395,-0.040199313,-0.08721105,-0.11181539,-0.1070643,-0.069449835,-0.0018254519,0.08471471,0.0125,0.004714671,0.7997347,0.06395558,0.09328359,False
0.29,-542.37396,138.54913,124.475235,103.31437,78.01694,51.854004,27.816711,8.131521,-6.0103264,-14.47299,-17.97652,-17.760319,-15.215074,-11.579859,-7.765413,-4.317373,-1.4888701,0.6346451,2.0193222,2.6189551,-0.2535787,-0.32683486,-0.2394338,-0.11778628,0.009889475,0.11685219,0.18503736,0.20880246,0.19426355,0.15498056,0.10600901,0.058825716,0.018960904,-0.013090801,-0.0386528,-0.057279576,-0.06485665,-0.05458442,-0.020568736,0.037580583,0.0125,0.0034287109,0.7881785,0.04651124,0.09328359,False
0.3,-542.42,138.51599,124.52311,103.45476,78.21799,52.054596,27.954878,8.174462,-6.047865,-14.531007,-17.97292,-17.626087,-14.926904,-11.175938,-7.336508,-3.9751134,-1.3229476,0.59348005,1.8151658,2.3579373,-0.25486755,-0.31555405,-0.19453825,-0.03363126,0.120734535,0.22744459,0.26375312,0.23126347,0.15301068,0.06317819,-0.006324927,-0.0371617,-0.02958099,0.00041271845,0.03008481,0.041124154,0.028114276,0.00074279506,-0.02109487,-0.017163213,0.0125,0.0048660985,0.77726305,0.06600973,0.09328359,False
0.31,-542.8587,137.995,124.269775,103.55528,78.65208,52.705406,28.649145,8.738914,-5.733119,-14.499422,-18.168667,-17.930378,-15.202793,-11.31499,-7.291192,-3.7670193,-1.0259547,0.8866786,2.0295596,2.461789,-0.2976003,-0.36198527,-0.20371996,0.004970932,0.20110562,0.32856694,0.3560543,0.28590867,0.15107743,0.001786216,-0.112858996,-0.16151063,-0.13958827,-0.0678678,0.018106127,0.08319035,0.10627026,0.08714537,0.0443794,0.005482014,0.0125,0.005550007,0.76684475,0.075287096,0.09328359,False
